Source IP,Destination IP,Destination Port
10.0.251.196,10.5.76.194,389
10.0.251.198,10.5.76.214,389
10.0.251.200,10.5.76.230,389
10.0.251.203,10.5.76.214,389
10.0.251.210,10.5.76.209,389
10.0.251.231,10.5.76.209,389
10.0.251.239,10.5.76.135,389
10.0.251.242,10.5.76.134,389
10.0.251.250,10.5.76.209,389
10.0.251.27,10.5.76.135,389
10.0.251.40,10.5.76.135,389
10.0.251.41,10.5.76.230,389
10.0.251.90,10.5.76.135,389
10.0.252.0,10.5.76.135,389
10.0.252.116,10.5.76.134,389
10.0.252.135,10.5.76.194,389
10.0.252.142,10.5.76.230,389
10.0.252.145,10.5.76.230,389
10.0.252.164,10.5.76.209,389
10.0.252.174,10.5.76.135,389
10.0.252.178,10.5.76.230,389
10.0.252.204,10.5.76.214,389
10.0.252.22,10.5.76.135,389
10.0.252.236,10.5.76.214,389
10.0.252.24,10.5.76.134,389
10.0.252.242,10.5.76.135,389
10.0.252.243,10.5.76.194,389
10.0.252.32,10.5.76.134,389
10.0.252.40,10.5.76.230,389
10.0.252.44,10.5.76.194,389
10.0.252.47,10.5.76.194,389
10.0.252.52,10.5.76.230,389
10.0.252.53,10.5.76.230,389
10.0.252.68,10.5.76.134,389
10.0.252.72,10.5.76.134,389
10.0.252.77,10.5.76.123,389
10.0.252.8,10.5.76.230,389
10.0.252.83,10.5.76.230,389
10.0.252.91,10.5.76.134,389
10.0.252.97,10.5.76.135,389
10.0.253.11,10.5.76.230,389
10.0.253.12,10.5.76.134,389
10.0.253.129,10.5.76.214,389
10.0.253.131,10.5.76.194,389
10.0.253.150,10.5.76.194,389
10.0.253.154,10.5.76.194,389
10.0.253.164,10.5.76.194,389
10.0.253.171,10.5.76.230,389
10.0.253.183,10.129.104.64,389
10.0.253.191,10.5.76.209,389
10.0.253.194,10.5.76.209,389
10.0.253.196,10.5.76.230,389
10.0.253.198,10.5.76.230,389
10.0.253.209,10.5.76.230,389
10.0.253.213,10.5.76.214,389
10.0.253.222,10.5.76.134,389
10.0.253.228,10.5.76.209,389
10.0.253.249,10.5.76.135,389
10.0.253.40,10.5.76.123,389
10.0.253.49,10.5.76.230,389
10.0.253.53,10.5.76.230,389
10.0.253.80,10.5.76.135,389
10.0.254.1,10.5.76.194,389
10.0.254.102,10.5.76.230,389
10.0.254.106,10.5.76.230,389
10.0.254.123,10.5.76.194,389
10.0.254.126,10.5.76.134,389
10.0.254.143,10.5.76.230,389
10.0.254.147,10.5.76.230,389
10.0.254.161,10.5.76.230,389
10.0.254.167,10.5.76.135,389
10.0.254.179,10.5.76.230,389
10.0.254.183,10.5.76.134,389
